year,round,iso_a2,admin_field,admin_code,country,level,catchment_area,vas_6_11,vas_12_59,vas_6_59,dw_1259,vas_6_59_f,vas_6_59_m,admin_pecs_6_59,admin_nat_6_59,pecs_admin_delta,pecs_admin_delta_positive,ona,pecs_lat,pecs_long
2011,2,BF,code_hasc,BF.SAHEL,Burkina Faso,catchment,Sahel,95.6,93.2,93.7,,93.9,94.3,107.5,102.3,-13.8,13.8,no,,
2012,1,BF,code_hasc,BF.SAHEL,Burkina Faso,catchment,Sahel,88.7,91,90.5,,88.6,92.4,91.7,100.8,-1.2,1.2,no,,
2012,2,BF,code_hasc,BF.EST,Burkina Faso,catchment,East,83.8,87.5,86.8,73.2,86.7,86.8,101,105.2,-14.2,14.2,no,,
2012,2,BF,code_hasc,BF.SAHEL,Burkina Faso,catchment,Sahel,93.5,93.6,93.6,82.8,93.1,94,93.8,105.2,-0.2,0.2,no,,
2013,1,BF,code_hasc,BE.EST,Burkina Faso,catchment,"East (Diapaga, Fada, Pama, Gayeri)",96,97.1,96.9,87.9,97,96.8,102.1,108.4,-5.2,5.2,no,,
2013,2,BF,code_hasc,BF.SAHEL,Burkina Faso,catchment,Sahel,85.7,87.6,87.2,74.1,89.7,84.7,173.4,103.7,-86.2,86.2,yes,14.03433282,-0.522430283
2011,2,CM,code_hasc,CM.LT,Cameroon,catchment,Wouri Division/Littoral Region,41.1,54.5,52.8,49.7,51.9,53.8,93.6,97.7,-40.8,40.8,no,,
2012,1,CM,code_hasc,CM.LT,Cameroon,catchment,Wouri Division/Littoral Region,60.8,72.8,71.2,72,73.2,69.4,90.3,89.4,-19.1,19.1,no,,
2012,2,CM,code_hasc,CM.LT,Cameroon,catchment,Wouri Division/Littoral Region,63.7,72.2,71,70.6,69.2,72.6,112.3,112.6,-41.3,41.3,no,,
2013,1,CM,code_hasc,CM.LT,Cameroon,catchment,Wouri Division/Littoral Region,62.5,72.8,71.4,70.8,72.8,70.1,81.4,101.5,-10,10,yes,4.044643387,9.760446659
2013,2,CM,code_hasc,CM.LT,Cameroon,catchment,Wouri Division/Littoral Region,80.6,79.6,79.8,78,79.7,79.9,104.3,103.8,-24.5,24.5,yes,4.061720782,9.763082445
2012,1,CI,iso_a2,CI,Cote d'Ivoire,national,National,90.8,90.8,90.8,88.2,90.9,90.7,101.1,101.1,-10.3,10.3,no,,
2012,2,CD,code_hasc,CD.BC,DRC,catchment,Bas-Congo,84.6,84.8,84.8,82.9,84.8,84.8,97,84.5,-12.2,12.2,no,,
2012,2,CD,code_hasc,CD.KN,DRC,catchment,Kinshasa,84.6,84.8,84.8,82.9,84.8,84.8,97,84.5,-12.2,12.2,no,,
2013,2,CD,,,DRC,catchement,Katanga,69.4,76,75.4,71.5,74.4,76.4,97.8,93.4,-22.4,22.4,yes,,
2011,2,GN,code_hasc,GN.KA,Guinea,catchment,Kankan,82.4,85.2,84.8,,85.3,84.1,87.3,90.5,-2.5,2.5,no,,
2012,1,GN,code_hasc,GN.KA,Guinea,catchment,Kankan,88.6,90.7,90.4,,90.5,90.3,95,101,-4.6,4.6,no,,
2012,2,GN,code_hasc,GN.KE,Guinea,catchment,Kerouane (Kankan),90.9,94.3,93.8,,92.2,95.2,103.2,97.7,-9.4,9.4,no,,
2013,1,GN,code_hasc,GN.BK,Guinea,catchment,Boke,95.8,88.9,89.4,73.7,88.6,90.2,68.5,97.2,20.9,20.9,no,,
2013,1,GN,code_hasc,GN.FA,Guinea,catchment,Faranah,89.4,93.1,92.4,65.3,91.5,93.2,101.4,97.2,-9,9,no,,
2013,2,GN,code_hasc,GN.MM,Guinea,catchment,Mamou,77,81.6,81.1,61.5,82.7,79.5,83.9,76,-2.8,2.8,yes,,
