year,round,iso_a2,code_hasc,country,level,catchment_area,pecs,vas_6-11,vas_12-59,vas_6-59,dw_24-59,vas_6-59_f,vas_6-59_m,admin_coverage,pecs_admin_delta,Administrative Coverage,difference
2011,2,BF,,Burkina Faso,catchment,Sahel,94.1,95.5,93.2,93.7,,93.9,94.3,99,4.9,107.5,14.2
2012,1,BF,,Burkina Faso,catchment,Sahel,90.6,88.6,91,90.6,,88.6,92.4,91.7,1.1,91.7,1.2
2012,2,BF,,Burkina Faso,catchment,East,86.8,83.1,87.6,86.8,72.9,86.9,86.7,99,12.2,100.9,16.2
2012,2,BF,,Burkina Faso,catchment,Sahel,90.2,93.1,93.7,93.6,82.5,93.1,94,93.8,3.6,93.8,4
2013,1,BF,,Burkina Faso,catchment,"East (Diapaga, Fada, Pama, Gayeri)",96.9,96,97.1,96.9,87.9,97,96.8,99,2.1,103.1,6.4
2013,2,BF,,Burkina Faso,catchment,Sahel,87.2,85.7,87.6,87.2,74.1,89.7,84.7,,,,
2011,2,CM,,Cameroon,catchment,Wouri Division,52.9,,,,,,,72.4,19.5,72.4,36.9
2012,1,CM,,Cameroon,catchment,Wouri Division,71.6,60.5,72.7,71.1,72,73.2,69.3,90.3,18.7,90.3,26.1
2012,2,CM,,Cameroon,catchment,Wouri Division,70.9,63.2,72.2,70.9,70.6,69,72.6,,,,
2012,2,CM,,Cameroon,catchment,Douala,71,,,,,,,90.1,19.1,90.1,26.9
2013,1,CM,,Cameroon,catchment,Wouri Division,71.4,62.5,72.8,71.4,70.8,72.8,70.1,81.4,10,81.4,14
2013,2,CM,,Cameroon,catchment,Wouri Division,79.8,80.6,79.6,79.8,78,79.7,79.9,,,,
2012,1,CI,,Cote d'Ivoire,national,National,90.8,90.7,90.8,90.8,88.2,90.9,90.7,99,8.5,101.1,11.7
2012,1,CI,,Cote d'Ivoire,catchment,Urban,92.5,88.9,93.1,92.5,89.7,91.7,93.3,,,,
2012,2,CI,,Cote d'Ivoire,catchment,"Gbeke, Indenie Djuablin",98.1,,,,,,,99,0.9,100.8,2.8
2012,1,CI,,Cote d'Ivoire,catchment,Abidjan,88.5,94.1,87.7,88.5,86.4,88.9,88.2,,,,
2010,2,CD,,DRC,national,National,84.6,,,,,,,90.4,5.8,90.4,6.9
2012,2,CD,,DRC,catchment,Bas Congo and Kinsasha,84.8,,,,,,,97.2,12.4,97.2,14.6
2011,2,GN,GN.KA,Guinea,catchment,Kankan,85.9,,,85.9,,,,87.3,1.4,87.3,1.6
2012,1,GN,GN.KA,Guinea,catchment,Kankan,90.4,88.4,90.6,90.4,,,,95,4.6,95,5.1
2012,2,GN,GN.KE,Guinea,catchment,Kerouane (Kankan),94,91,93.2,93.8,,,,99,5,99.3,5.6
2013,1,GN,GN.BK,Guinea,catchment,Boke,89.4,95.9,88.9,89.4,73.9,88.6,90.2,85,-4.4,85,-4.9
2013,1,GN,GN.FA,Guinea,catchment,Faranah,92.4,89.5,93.1,92.4,65.2,91.5,93.2,99,6.6,102,10.4
2013,2,GN,,Guinea,catchment,Mamou,81,79.8,81.3,81.1,60.8,82.7,79.6,,,,
2012,1,KE,,Kenya,catchment,Non-ASAL,31,42.2,29.6,31,19.6,29.6,32.6,,,,
2013,1,KE,,Kenya,catchment,Mumias and Kwale,58.3,63.6,57.7,58.3,35.8,59.3,57.4,,,,
2010,2,ML,,Mali,national,National,85.6,,,,,,,99,13.4,102.8,20.1
2010,2,MZ,,Mozambique,catchment,Gaza,77.3,,,77.3,,,,99,21.7,106.6,37.9
2012,2,MZ,,Mozambique,catchment,Nampula,54.7,,,54.7,,,,99,44.3,99.4,81.7
2013,1,MZ,,Mozambique,catchment,Gaza,85,,,85,,,,99,14,108.3,27.4
2010,2,MZ,,Mozambique ,national,National,77.7,,,,,,,99,21.3,100,28.7
2011,2,NE,,Niger,national,National,91.7,88.6,92.3,91.7,,,,99,7.3,102.7,12
2012,2,NE,,Niger,catchment,Diffa,88.4,,,88.4,,,,99,10.6,104.4,18.1
2012,2,NE,,Niger,catchment,Niamey,95.3,,,95.3,,,,99,3.7,111.1,16.6
2012,2,NE,,Niger,catchment,Tahoua,96.8,,,96.8,,,,99,2.2,104,7.4
2012,1,NG,,Nigeria,catchment,FCT,66.9,67.2,66.9,66.9,21.2,,,61,-5.9,61,-8.8
2011,2,SL,,Sierra Leone,,`,92.4,,,,,,,99,6.6,105.1,13.7
2012,1,SL,,Sierra Leone,national,National,91.9,,,,,,,99,7.1,100.1,8.9
2012,2,SL,,Sierra Leone,national,National,91.5,,,,,,,99,7.5,100.1,9.4
2010,1,TZ,,Tanzania,national,National,65.4,,,,,,,98.5,33.1,98.5,50.6
2012,1,TZ,,Tanzania,catchment,"Intervention: Bariadi, Singida Urban, Newala .  Control: Rorya 
Arusha Rural , Lindi Urban ",85.3,,,,,,,95.9,10.6,95.9,12.4
2012,2,TZ,,Tanzania,catchment,Tabora and Shinyanga,65.7,,,65.7,54.2,,,99,33.3,99.5,51.4
2010,1,TZ,,Tanzania ,catchment,Zanzibar,78.1,,,,,,,95,16.9,95,21.6
2010,1,SN,,Senegal,national,National,109,,,,,,,,,,
2010,2,SN,,Senegal,national,National,103,,,,,,,,,,
2013,1,SN,,Senegal,national,National,107.6,,,,,,,,,,
2013,2,SN,,Senegal,national,National,83.6,84.9,83.6,76.2,,,,,,,
