q1,q14,q15,location,location_latitude,location_longitude,location_altitude,location_precision,final_age,age_category_child
2,0,1,0.33739412492385246 34.47100427654209 1337.0 10.0,0.337394125,34.47100428,1337,10,6,1
1,0,0, , , , , ,6,1
1,0,0, , , , , ,6,1
2,0,0, , , , , ,6,1
2,0,0,0.2050572 34.3612331 0.0 5000.0,0.2050572,34.3612331,0,5000,6,1
2,0,1,-4.1831084 39.5953873 0.0 3315.0,-4.1831084,39.5953873,0,3315,6,1
2,0,1,-4.252120511811937 39.57682319084887 26.0 15.0,-4.252120512,39.57682319,26,15,6,1
1,0,1,-4.310524166223709 39.45051470501502 120.0 5.0,-4.310524166,39.45051471,120,5,6,1
1,0,1,0.33921466086771584 34.47161083583769 1268.0 10.0,0.339214661,34.47161084,1268,10,7,1
1,0,1,0.3223092195931145 34.42899996744598 1284.0 15.0,0.32230922,34.42899997,1284,15,7,1
1,0,1,0.34191332380665806 34.53924031360481 1315.0 5.0,0.341913324,34.53924031,1315,5,7,1
1,0,1, , , , , ,7,1
1,0,1, , , , , ,7,1
1,0,1, , , , , ,7,1
1,0,0,0.1942053 34.4480873 0.0 4384.0,0.1942053,34.4480873,0,4384,7,1
2,0,1,-4.148075365087647 39.459056030913395 400.0 25.0,-4.148075365,39.45905603,400,25,7,1
1,1,1, , , , , ,7,1
2,0,1,-4.3796839354977415 39.29155108064048 128.0 30.0,-4.379683935,39.29155108,128,30,7,1
2,0,1,-4.239375019052049 39.57624499291416 0.0 10.0,-4.239375019,39.57624499,0,10,7,1
1,0,1,-4.1291217774011635 39.61558291017986 25.0 15.0,-4.129121777,39.61558291,25,15,7,1
2,0,1,-4.367432120163454 39.19381121987061 99.0 5.0,-4.36743212,39.19381122,99,5,7,1
2,0,0,-4.319835068976596 39.24503111786211 146.0 10.0,-4.319835069,39.24503112,146,10,7,1
1,0,1, , , , , ,7,1
2,0,1,0.3025532204463368 34.545044173412 1377.0 15.0,0.30255322,34.54504417,1377,15,7,1
1,0,1,0.30961619693646286 34.499672946824 1305.0 5.0,0.309616197,34.49967295,1305,5,8,1
1,0,0,0.3389719 34.5240968 0.0 4033.0,0.3389719,34.5240968,0,4033,8,1
